chrome DTLS1.2 keys

CLIENT_HANDSHAKE_TRAFFIC_SECRET 60ec1f459ce9acd270bee3c848a13d6df02a31b5b348ae024e0b0f587df97104 ff804b5d5dcce9d6d1a797b8e91f370dd5e5985a242d8bcf8eab66d63aefa5a8
SERVER_HANDSHAKE_TRAFFIC_SECRET 60ec1f459ce9acd270bee3c848a13d6df02a31b5b348ae024e0b0f587df97104 5fe68592f21c9442c791168b9bf78120f53ffdd68035ae89919f15e9b1b6191f
CLIENT_TRAFFIC_SECRET_0 60ec1f459ce9acd270bee3c848a13d6df02a31b5b348ae024e0b0f587df97104 89738745c19d72cb1c9ae51983ed03d93cfd7fae879e801c949dedcd29507fae
SERVER_TRAFFIC_SECRET_0 60ec1f459ce9acd270bee3c848a13d6df02a31b5b348ae024e0b0f587df97104 daa80ed14ff4e8d8e1bc90a271c9a6f0ccf2abea515ad4a6231627605cd4e0d7
EXPORTER_SECRET 60ec1f459ce9acd270bee3c848a13d6df02a31b5b348ae024e0b0f587df97104 f035080716ef2ca7c8c1409004f91369c5225ffb63a022729ffab57768f92e0e
CLIENT_RANDOM b20f402ce156c8bbb86f961363734bed0298439be80bbbbcd3c1d5175f86eed5 6a52916eb3cc11ba3cf12b0091a1e0bce4fda8c99511a08deb002f263b73f16dc510711d0756bb68e50664fef19d40b6
CLIENT_HANDSHAKE_TRAFFIC_SECRET 2e140fbf495b9e08b64a60715552c3651e99f7120395097e3cd9fbf035e71fea ad7953495c50f61a6a0da9a2445a835c1da360e885c9b2b561aec41edcda1e31
SERVER_HANDSHAKE_TRAFFIC_SECRET 2e140fbf495b9e08b64a60715552c3651e99f7120395097e3cd9fbf035e71fea e1cc7f1906f914bcd9824f2776b346d880b0051580701cd6c81577b5669f7648
CLIENT_TRAFFIC_SECRET_0 2e140fbf495b9e08b64a60715552c3651e99f7120395097e3cd9fbf035e71fea f7d20b05a0c55667edb95da27f864234eb4569284023cfc385d0e484da7b353a
SERVER_TRAFFIC_SECRET_0 2e140fbf495b9e08b64a60715552c3651e99f7120395097e3cd9fbf035e71fea 2b2a696ba892ed1a11d004b5538725d5ecb7ee0217cb7b953e0536e8d2e9e861
EXPORTER_SECRET 2e140fbf495b9e08b64a60715552c3651e99f7120395097e3cd9fbf035e71fea 214ec3028a642f9ed0b1c2be035f00288f68b0209927dfa08c2207ef07fb7f98
CLIENT_RANDOM 589161a7ad8eda4ecc2a9b016837c417c4708ea711c52a937f7e5027aa865fd1 9959eecf77d90fd555d5cfce8f2ee3399b8b0d4fada32f83452601d9ea42715c0edb6eebaaaa9770a49e8af1624aff4b
CLIENT_HANDSHAKE_TRAFFIC_SECRET 1d84cddd35da926d6337e3f0312f181982c9bf8b4764bf37d21bd30cb5b19d9f c7aca86c3e9a131a4c6aa172171dc85eca59ab8b6c79dab256a88ff6e6e5346a9e2ba918d6dab671157aaf264984e0b6
SERVER_HANDSHAKE_TRAFFIC_SECRET 1d84cddd35da926d6337e3f0312f181982c9bf8b4764bf37d21bd30cb5b19d9f 33f31c09716f8514ed754f38798d48b559e7e5bd9dcda29eb2fa330db9cf8741907464b818281a384c3999affcad9b62
